"","Terrestrial_Transect_Live_Richness","log10Terrestrial_Total_Live_Density","Terrestrial_Ash_Live_Density_bi","Terrestrial_Elm_Live_Density_bi","Terrestrial_Basswood_Live_Density_bi","Terrestrial_Oak_Live_Density_bi","Terrestrial_Cherry_Live_Density_bi","Terrestrial_Hickory_Live_Density_bi","Terrestrial_Beech_Live_Density_bi","Terrestrial_Buckthorn_Live_Density_bi","Terrestrial_Hophornbeam_Live_Density_bi","Terrestrial_Aspen_Live_Density_bi","sqrtTerrestrial_Total_Snag_Density_nz","Terrestrial_Elm_Snag_Density_bi","log10Terrestrial_Total_CWD_Density_nz","Terrestrial_Ash_CWD_Density_bi","Terrestrial_2_CWD_Density_bi","log10Terrestrial_3_CWD_Density_nz","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"Terrestrial_Elm_Snag_Density_bi",0.803061903154609,-0.212542420031263,-0.142702700815742,0.42554580275744,-0.029538068658436,0.016896881005993,0.570717335110153,-0.351833561840822,0.32634532387908,0.320839098025391,0.629538426992491,-0.303325870754558,0.353227818498366,1,-0.173818922374104,0.481216754254048,0.661555773272427,-0.241049938296632,0.622822806123355,-0.356416144145858,0.63602051857295,0.0607219444695058,-0.266187026599223
"log10Terrestrial_Total_CWD_Density_nz",0.144619506019271,-0.141911017935334,0.350076923559884,0.281713099306777,-0.0199929171978104,-0.160854373493197,-0.0838034724823769,0.379053624541112,-0.161885680046775,0.140922977971365,-0.0092998608018302,-0.234581224139831,0.56609120150451,-0.173818922374104,1,0.587115169776538,0.188688231753551,0.827586009510613,0.482806318558852,0.61694738042056,-0.153862586199643,0.154879024132935,0.470713721501222
"Terrestrial_Ash_CWD_Density_bi",0.613456067252501,-0.368135585229622,0.545288694401154,0.0931857197955364,0.227411137636962,-0.0143359659901624,0.3252158537507,-0.241313498446435,0.0875211926656798,0.282711767820669,0.582229589481618,-0.287449581907039,0.724449036149978,0.481216754254048,0.587115169776538,1,0.462597512591084,0.615424296596845,0.902361103990506,0.200782276127433,0.105137030308617,-0.225989850340416,0.124021235970218
"Terrestrial_2_CWD_Density_bi",0.543307718291588,-0.187494490625456,-0.338266170573373,0.254998690161476,0.24284019271042,0.474109959529574,0.802036679976672,-0.265327550350113,-0.0775298556627287,0.288199943837906,0.300814532805435,0.0919063988007511,0.364979662694849,0.661555773272427,0.188688231753551,0.462597512591084,1,0.035313306126696,0.611492199399655,-0.430545572766726,0.186539314965946,0.234091846132435,0.299717560389588
"log10Terrestrial_3_CWD_Density_nz",0.0340914598431409,-0.131375289571117,0.428506421339234,0.0286048677501504,-0.0209107701082536,-0.189126965894428,-0.172125283069324,0.354845489987428,-0.13775215309778,0.035995722994674,-0.0164213043823967,-0.164795760144581,0.323288347370905,-0.241049938296632,0.827586009510613,0.615424296596845,0.035313306126696,1,0.376579912132964,0.613635874619132,-0.214565022450251,-0.00237298227922864,0.464615943951027
"Dim.1",0.814126042806251,-0.400063048997514,0.383480945197978,0.207730122739386,0.416504707152508,0.134416355818275,0.503329111461049,-0.440168387882052,-0.0734185285089633,0.553681225534231,0.478809949481973,-0.0818186660467,0.880767720959249,0.622822806123355,0.482806318558852,0.902361103990506,0.611492199399655,0.376579912132964,1,-0.0353617217321625,0.043446848749602,-0.0160546647454422,-0.0436799677310289
"Dim.2",-0.292241170395791,-0.254936062467908,0.513435271325379,0.234140982099153,-0.510991493885181,-0.817594700220271,-0.791789771614996,0.713767420400624,0.0876387005979101,-0.0382529830701546,-0.1984464316662,-0.630153448041777,0.156847135468626,-0.356416144145858,0.61694738042056,0.200782276127433,-0.430545572766726,0.613635874619132,-0.0353617217321625,1,0.024719902756392,0.00226935285864802,-0.03008272532565
"Dim.3",0.383742513579226,0.154957241150872,-0.290347685705042,0.565245080144495,-0.677280722738559,-0.36542874761798,0.12210125852199,0.313902824802649,0.775502086160443,-0.32521040896682,0.629868421443974,-0.73098918296948,-0.203589192990424,0.63602051857295,-0.153862586199643,0.105137030308617,0.186539314965946,-0.214565022450251,0.043446848749602,0.024719902756392,1,-0.0152502314063695,0.00560760489808183
"Dim.4",0.139856951923651,0.377665064059221,-0.617522500474422,0.738192822255153,-0.263312123769953,-0.0817860819153493,-0.00384201049965765,0.257343281775574,-0.577742261047153,0.555082733517286,-0.556995196495107,0.233340787666288,0.12018612526807,0.0607219444695058,0.154879024132935,-0.225989850340416,0.234091846132435,-0.00237298227922864,-0.0160546647454422,0.00226935285864802,-0.0152502314063695,1,-0.0207820084209994
"Dim.5",-0.133542552913252,0.388486817174111,-0.287496515740356,-0.0559357321955718,-0.0367825443139979,0.446312215064598,0.352972030270967,0.319361829768133,0.0942740971167985,-0.542000083270161,0.140990715075842,0.0945879498549766,-0.232369281323899,-0.266187026599223,0.470713721501222,0.124021235970218,0.299717560389588,0.464615943951027,-0.0436799677310289,-0.03008272532565,0.00560760489808183,-0.0207820084209994,1
